Age,Income,Employment_Status,Loan_Amount,Existing_Debt,Credit_History,Number_of_Loans,Payment_History,Credit_Score_Value,Creditworthy
59,30287,Employed,32033,23125,Good,4,Delayed,691,0
49,59387,Self-Employed,27000,32588,Fair,2,Delayed,833,0
35,33512,Employed,13332,14614,Good,4,On-Time,403,0
63,26342,Self-Employed,5800,6255,Good,6,Delayed,362,0
28,88076,Employed,32538,11325,Good,3,On-Time,452,1
41,133872,Employed,33119,23193,Fair,2,Delayed,714,1
59,44216,Unemployed,11333,4617,Poor,4,On-Time,384,0
39,118070,Employed,8410,25229,Fair,5,On-Time,609,1
43,104767,Employed,20839,32682,Fair,6,On-Time,695,1
31,122829,Self-Employed,33519,29390,Good,6,On-Time,786,1
31,51614,Employed,8808,29840,Fair,5,On-Time,532,1
44,61258,Employed,9796,2018,Fair,4,On-Time,467,1
56,118789,Unemployed,24180,31449,Good,6,On-Time,790,1
60,67078,Employed,20709,23047,Good,2,Delayed,468,1
44,131288,Self-Employed,20543,16846,Good,4,On-Time,407,1
23,108524,Employed,40418,3100,Poor,4,Delayed,643,0
42,121573,Employed,32075,29767,Good,3,Delayed,715,1
22,37219,Employed,40755,27490,Fair,6,Delayed,723,0
44,25235,Employed,40465,16693,Good,6,On-Time,401,0
64,67929,Unemployed,33502,30609,Good,5,Defaulted,605,0
50,92444,Unemployed,19724,19733,Good,3,On-Time,701,1
58,33567,Employed,6828,16694,Good,3,On-Time,589,1
22,126834,Self-Employed,20087,1806,Fair,6,On-Time,611,1
41,95792,Employed,15605,4349,Fair,4,On-Time,772,1
53,90441,Employed,34337,12860,Good,3,Defaulted,343,0
32,109555,Employed,8482,29731,Fair,5,On-Time,630,1
42,98698,Employed,30005,19189,Good,3,Delayed,780,1
64,30415,Employed,25760,29584,Poor,5,Delayed,527,0
45,61159,Self-Employed,8463,9780,Good,3,On-Time,757,1
47,68925,Employed,7912,3142,Good,5,On-Time,655,1
62,30951,Employed,7648,14796,Good,3,On-Time,741,1
48,112388,Employed,36623,15938,Good,3,On-Time,640,1
36,33007,Employed,38634,3494,Good,2,On-Time,816,1
35,66832,Self-Employed,6112,34539,Fair,5,Defaulted,482,0
67,83596,Employed,25054,2313,Poor,5,Defaulted,484,0
64,55523,Employed,7492,27991,Fair,5,On-Time,614,1
23,113861,Employed,25207,19345,Good,1,On-Time,361,1
57,111740,Employed,18114,13818,Good,3,Delayed,604,1
27,40524,Employed,37285,17700,Good,5,On-Time,706,1
41,44282,Employed,19018,582,Good,6,Delayed,457,0
29,48930,Self-Employed,24386,2420,Fair,1,On-Time,506,1
59,25077,Self-Employed,20740,12183,Good,2,On-Time,750,1
38,130881,Employed,11210,11836,Good,5,Delayed,735,1
24,45611,Employed,15743,16096,Good,5,On-Time,745,1
45,41984,Employed,9588,2593,Poor,1,Defaulted,735,0
34,39060,Employed,6311,13405,Good,3,Defaulted,345,0
29,107985,Employed,25432,24851,Good,6,On-Time,690,1
46,109056,Employed,36755,31481,Good,2,On-Time,704,1
22,68303,Employed,6321,8867,Good,5,Defaulted,375,0
40,84207,Employed,18812,5785,Good,3,Defaulted,572,0
48,100046,Employed,40383,17253,Good,6,On-Time,425,1
67,54287,Employed,16146,18985,Fair,6,Delayed,449,0
27,118709,Employed,16654,13477,Good,2,On-Time,695,1
64,64711,Employed,38820,20374,Fair,4,On-Time,627,1
28,36954,Employed,3726,8174,Poor,6,Delayed,410,0
67,98340,Self-Employed,6760,29538,Fair,4,On-Time,712,1
55,97101,Employed,25190,29815,Good,6,Defaulted,429,0
34,96520,Unemployed,4875,4176,Good,2,On-Time,659,1
37,112062,Employed,26377,2926,Fair,1,On-Time,675,1
56,127974,Self-Employed,7033,24973,Fair,2,On-Time,487,1
60,43574,Employed,41211,3462,Good,2,On-Time,771,1
24,34184,Self-Employed,20373,30443,Fair,1,Delayed,424,0
22,44096,Self-Employed,6744,1359,Good,1,On-Time,469,1
26,92728,Employed,27995,4638,Good,3,On-Time,465,1
62,59016,Employed,19977,26140,Good,6,On-Time,618,1
24,36246,Employed,35402,10909,Good,3,On-Time,486,0
49,70558,Employed,37542,4517,Good,1,Delayed,367,0
38,43381,Employed,13651,10951,Fair,4,On-Time,558,1
46,61455,Employed,36703,28827,Good,4,On-Time,326,0
64,117263,Employed,16395,10778,Good,2,On-Time,783,1
54,29018,Employed,32808,25444,Good,5,On-Time,772,1
30,36302,Self-Employed,39576,1634,Good,2,On-Time,690,1
56,92506,Employed,19715,30631,Good,2,On-Time,806,1
34,66157,Unemployed,27306,23020,Fair,5,On-Time,530,0
51,79917,Employed,22086,22369,Fair,6,Delayed,484,0
35,117738,Employed,17376,5539,Fair,1,Delayed,444,1
28,121646,Employed,8889,21781,Fair,4,On-Time,656,1
34,108122,Employed,40822,10942,Good,2,On-Time,511,1
43,49519,Self-Employed,39636,8752,Good,5,On-Time,533,1
60,121809,Employed,23584,28086,Good,3,On-Time,647,1
41,112487,Self-Employed,37610,18068,Good,2,On-Time,700,1
36,81819,Employed,13058,21310,Poor,4,On-Time,558,1
65,105910,Employed,12101,2051,Good,1,On-Time,401,1
38,96324,Employed,15497,13125,Good,2,On-Time,682,1
67,30408,Employed,7658,34897,Poor,2,On-Time,824,1
44,84379,Employed,14381,26749,Poor,6,On-Time,521,1
46,50053,Employed,43312,1861,Fair,5,On-Time,823,1
45,34446,Employed,43486,26649,Good,3,On-Time,356,0
65,25922,Employed,20154,4870,Good,3,On-Time,721,1
61,123723,Employed,22539,5783,Good,1,On-Time,495,1
49,76356,Employed,14777,8110,Good,4,On-Time,786,1
35,35789,Employed,37396,15424,Good,1,On-Time,520,1
65,122720,Employed,33373,11126,Good,2,On-Time,713,1
21,91656,Employed,36154,1369,Poor,2,On-Time,361,0
45,69028,Employed,9031,32052,Good,3,On-Time,712,1
27,89484,Employed,30997,1514,Fair,4,On-Time,760,1
29,57154,Employed,9439,10603,Fair,5,Delayed,825,1
44,107870,Employed,25785,17486,Good,4,On-Time,639,1
21,27336,Self-Employed,16392,30971,Fair,2,On-Time,534,0
64,128677,Employed,31669,33958,Good,5,Delayed,390,0
28,92779,Employed,31939,25569,Good,4,On-Time,555,1
44,44029,Employed,5282,17373,Fair,4,On-Time,600,1
31,84201,Employed,37624,23748,Good,5,Delayed,481,0
37,57265,Employed,27364,24124,Poor,2,Delayed,510,0
28,127916,Employed,4998,29561,Good,4,On-Time,328,1
55,137250,Self-Employed,34705,24670,Fair,5,On-Time,379,1
55,68872,Employed,41244,8524,Good,6,On-Time,544,1
53,71197,Employed,12428,17178,Good,6,On-Time,606,1
25,80180,Employed,40437,20911,Good,2,On-Time,488,1
62,48710,Employed,15336,19796,Fair,5,On-Time,381,0
59,54486,Employed,12342,26793,Fair,6,On-Time,668,1
61,96907,Employed,42832,27672,Fair,5,Defaulted,761,0
48,96895,Employed,10446,21628,Good,4,Defaulted,333,0
27,89435,Unemployed,41392,18757,Fair,2,On-Time,483,0
29,65631,Employed,10461,13355,Fair,6,On-Time,739,1
28,126532,Employed,37587,20142,Fair,4,On-Time,839,1
32,45103,Employed,13516,20525,Good,1,Delayed,347,0
54,89772,Employed,16749,4958,Fair,1,On-Time,765,1
53,39382,Employed,20514,5807,Fair,2,On-Time,527,1
43,109291,Employed,38426,18925,Good,6,On-Time,789,1
44,126195,Self-Employed,39268,28773,Fair,6,On-Time,423,1
57,28756,Self-Employed,27950,6168,Fair,6,On-Time,745,1
55,45609,Employed,37888,26434,Good,5,Delayed,420,0
64,139074,Self-Employed,39788,8197,Good,4,Delayed,425,1
60,41478,Employed,13213,24917,Good,6,On-Time,596,1
42,125978,Employed,39027,16946,Good,4,On-Time,384,1
47,64666,Employed,31011,11251,Fair,2,On-Time,507,1
55,100683,Unemployed,37591,7852,Good,6,Delayed,636,0
21,124097,Employed,20858,14016,Fair,2,Defaulted,457,0
55,125420,Employed,21626,23799,Poor,6,Defaulted,662,0
57,96315,Employed,16467,32457,Good,1,Delayed,424,0
67,102834,Employed,42758,29427,Poor,3,On-Time,699,0
34,39153,Employed,6134,29993,Poor,2,On-Time,429,0
23,134415,Employed,19743,27211,Fair,6,On-Time,673,1
21,101325,Employed,18434,8503,Fair,3,Defaulted,636,1
25,134701,Employed,13233,32207,Poor,2,On-Time,585,1
46,37999,Employed,4141,3778,Fair,5,On-Time,384,1
34,80318,Employed,21019,7796,Good,6,Delayed,652,1
59,25814,Employed,23384,25898,Fair,5,On-Time,832,1
47,101077,Employed,39129,13761,Fair,1,On-Time,452,1
29,115474,Employed,25967,11673,Fair,6,Delayed,815,1
35,27443,Employed,43603,30949,Good,1,On-Time,688,1
35,100993,Employed,14172,2137,Fair,3,On-Time,418,1
46,100916,Unemployed,19390,32281,Good,2,Delayed,636,0
62,98319,Employed,6267,14152,Poor,4,On-Time,442,1
33,134777,Employed,42332,5603,Good,1,Defaulted,639,1
52,42368,Employed,29167,26000,Good,4,On-Time,814,1
59,40328,Employed,24312,18952,Good,4,On-Time,776,1
52,81942,Employed,30840,31674,Good,2,Delayed,839,1
24,116751,Employed,21990,16454,Fair,3,On-Time,634,1
50,124131,Employed,8906,17686,Poor,2,On-Time,798,1
57,52306,Employed,43379,12856,Fair,6,Delayed,339,0
43,110451,Unemployed,20297,33463,Good,1,On-Time,449,0
59,64915,Self-Employed,5011,2687,Good,4,On-Time,612,1
65,62219,Employed,14738,12207,Fair,2,On-Time,451,1
35,105879,Employed,31797,27435,Poor,2,On-Time,675,1
63,136939,Self-Employed,14120,21725,Good,2,On-Time,373,1
49,89644,Employed,11767,4106,Good,1,On-Time,706,1
56,85279,Employed,25852,33328,Good,3,Delayed,584,1
33,78028,Unemployed,16703,26989,Poor,2,Defaulted,534,0
52,129263,Employed,3929,14887,Fair,1,On-Time,779,1
27,25126,Employed,14951,4427,Good,4,On-Time,777,1
42,77329,Unemployed,29039,6796,Good,6,On-Time,362,0
